timestamp,cluster,kind,device,gpu_name,threads,n_x,n_y,n_z,n_cells,scale_num,scale_den,sep_num,sep_den,contact,rank,oversamples,power_iters,sketch_width,num_pos,dense_m,dense_c,reps,time_s,time_median_s,time_mean_s,peak_rss_bytes,baseline_rss_bytes,peak_vram_bytes,peak_vram_delta_bytes,baseline_vram_bytes,peak_vram_live_bytes,peak_vram_reserved_bytes,device_total_bytes,bytes_written,startup_s,extra
2026-07-31T16:13:46.405,molering,bounds_core,gpu,NVIDIA RTX A6000,4,8,8,8,512,1,32,1,4,0,1350,50,14,1400,,3072,1400,20,68.74200092,,,2567024640,1457725440,8101363712,7646216192,455147520,7468403100,7583301632,,,4.616409063,num_pos=675;outer_indices=1|226|450|675;outer_ok=1;outer[1]=1.9958;outer[226]=0.330001;outer[450]=0.288866;outer[675]=0.248514;N_u=3072;t_c_projection=48.9183;t_gram_schmidt=14.9175;t_outer_total=2.86318;t_ss_basis=0.684261;tier=full;label=boundscore_l0p25_k1350
2026-07-31T16:10:47.511,molering,bounds_core,gpu,NVIDIA RTX A6000,4,8,8,8,512,1,32,1,4,0,256,50,14,306,,3072,306,20,20.77788762,,,2306592768,1458839552,1793130496,1337982976,455147520,1262794820,1275068416,,,4.858321905,num_pos=128;outer_indices=1|43|86|128;outer_ok=1;outer[1]=1.63878;outer[43]=0.020949;outer[86]=0.0173594;outer[128]=0.0140637;N_u=3072;t_c_projection=15.8177;t_gram_schmidt=1.20266;t_outer_total=1.69115;t_ss_basis=0.688797;tier=full;label=boundscore_l0p25_k256
2026-07-31T16:12:03.486,molering,bounds_core,gpu,NVIDIA RTX A6000,4,8,8,8,512,1,32,1,4,0,800,50,14,850,,3072,850,20,42.04904442,,,2469175296,1465241600,5450563584,4995416064,455147520,4827809460,4932501504,,,4.617252111,num_pos=400;outer_indices=1|134|267|400;outer_ok=1;outer[1]=1.72257;outer[134]=0.107207;outer[267]=0.0883824;outer[400]=0.0717114;N_u=3072;t_c_projection=32.953;t_gram_schmidt=5.04522;t_outer_total=1.98987;t_ss_basis=0.694943;tier=full;label=boundscore_l0p25_k800
2026-07-31T16:18:12.137,molering,bounds_core,gpu,NVIDIA RTX A6000,4,16,16,16,4096,1,32,1,4,0,1350,50,14,1400,,24576,1400,20,85.97203306,,,2575712256,1454120960,38367461376,37912313856,455147520,37704531068,37849399296,,,4.284972906,num_pos=675;outer_indices=1|226|450|675;outer_ok=1;outer[1]=2.83185;outer[226]=0.329635;outer[450]=0.289593;outer[675]=0.251877;N_u=24576;t_c_projection=64.9095;t_gram_schmidt=15.3141;t_outer_total=3.70295;t_ss_basis=0.6828;tier=full;label=boundscore_l0p5_k1350
2026-07-31T16:14:43.862,molering,bounds_core,gpu,NVIDIA RTX A6000,4,16,16,16,4096,1,32,1,4,0,256,50,14,306,,24576,306,20,23.525182,,,2419830784,1454985216,5014355968,4559208448,455147520,4459697732,4496293888,,,4.487571001,num_pos=128;outer_indices=1|43|86|128;outer_ok=1;outer[1]=1.62837;outer[43]=0.0199634;outer[86]=0.0166196;outer[128]=0.0132666;N_u=24576;t_c_projection=18.583;t_gram_schmidt=1.24266;t_outer_total=1.67822;t_ss_basis=0.69015;tier=full;label=boundscore_l0p5_k256
2026-07-31T16:16:10.199,molering,bounds_core,gpu,NVIDIA RTX A6000,4,16,16,16,4096,1,32,1,4,0,800,50,14,850,,24576,850,20,51.5671979,,,2587123712,1457913856,33871167488,33416019968,455147520,33016048404,33353105408,,,5.096834898,num_pos=400;outer_indices=1|134|267|400;outer_ok=1;outer[1]=1.78733;outer[134]=0.469031;outer[267]=0.0878624;outer[400]=0.0722622;N_u=24576;t_c_projection=40.8645;t_gram_schmidt=5.40531;t_outer_total=2.41648;t_ss_basis=1.55242;tier=full;label=boundscore_l0p5_k800
2026-07-31T16:23:22.134,molering,bounds_core,gpu,NVIDIA RTX A6000,4,24,24,24,13824,1,32,1,4,0,1350,50,14,1400,,82944,1400,20,108.4611439,,,2801627136,1454989312,45883654144,45428506624,455147520,45331769076,45365592064,,,4.587496042,num_pos=675;outer_indices=1|226|450|675;outer_ok=1;outer[1]=4.23767;outer[226]=0.331934;outer[450]=0.292402;outer[675]=0.251496;N_u=82944;t_c_projection=84.6091;t_gram_schmidt=16.6835;t_outer_total=5.1135;t_ss_basis=0.681487;tier=full;label=boundscore_l0p75_k1350
2026-07-31T16:19:13.609,molering,bounds_core,gpu,NVIDIA RTX A6000,4,24,24,24,13824,1,32,1,4,0,256,50,14,306,,82944,306,20,27.26825761,,,2590593024,1454690304,13671399424,13216251904,455147520,13136409668,13153337344,,,4.257147074,num_pos=128;outer_indices=1|43|86|128;outer_ok=1;outer[1]=1.95351;outer[43]=0.0203006;outer[86]=0.0172767;outer[128]=0.0138312;N_u=82944;t_c_projection=21.8943;t_gram_schmidt=1.29428;t_outer_total=2.00492;t_ss_basis=0.687869;tier=full;label=boundscore_l0p75_k256
2026-07-31T16:20:53.322,molering,bounds_core,gpu,NVIDIA RTX A6000,4,24,24,24,13824,1,32,1,4,0,800,50,14,850,,82944,850,20,63.34414885,,,2753060864,1458573312,38333906944,37878759424,455147520,37730049716,37815844864,,,4.725601912,num_pos=400;outer_indices=1|134|267|400;outer_ok=1;outer[1]=2.37264;outer[134]=0.104816;outer[267]=0.0887329;outer[400]=0.0722354;N_u=82944;t_c_projection=52.2211;t_gram_schmidt=6.42224;t_outer_total=2.63843;t_ss_basis=0.689335;tier=full;label=boundscore_l0p75_k800
2026-07-31T16:24:31.439,molering,bounds_core,gpu,NVIDIA RTX A6000,4,32,32,32,32768,1,32,1,4,0,256,50,14,306,,196608,306,20,34.45993921,,,2617397248,1455226880,30582833152,30127685632,455147520,30032663108,30064771072,,,4.383080959,num_pos=128;outer_indices=1|43|86|128;outer_ok=1;outer[1]=1.63829;outer[43]=0.0202975;outer[86]=0.0168202;outer[128]=0.0134354;N_u=196608;t_c_projection=29.3577;t_gram_schmidt=1.38305;t_outer_total=1.68884;t_ss_basis=0.683355;tier=full;label=boundscore_l1_k256
2026-07-31T16:26:39.739,molering,bounds_core,gpu,NVIDIA RTX A6000,4,32,32,32,32768,1,32,1,4,0,800,50,14,850,,196608,850,20,88.97505221,,,2497380352,1457184768,45883654144,45428506624,455147520,44420748708,45365592064,,,4.594790936,num_pos=400;outer_indices=1|134|267|400;outer_ok=1;outer[1]=3.56014;outer[134]=0.105049;outer[267]=0.0889779;outer[400]=0.0730151;N_u=196608;t_c_projection=76.3472;t_gram_schmidt=6.75631;t_outer_total=3.82718;t_ss_basis=0.686061;tier=full;label=boundscore_l1_k800
2026-07-31T16:27:51.537,molering,bounds_core,gpu,NVIDIA RTX A6000,4,64,32,32,65536,-1,8,1,4,0,256,50,14,306,,393216,306,20,35.94857443,,,2406027264,1454866432,38333906944,37878759424,455147520,37510083332,37815844864,,,4.975558996,num_pos=128;outer_indices=1|43|86|128;outer_ok=1;outer[1]=2.06669;outer[43]=0.0201145;outer[86]=0.0166989;outer[128]=0.0134451;N_u=393216;t_c_projection=29.9561;t_gram_schmidt=1.83227;t_outer_total=2.11695;t_ss_basis=0.686949;tier=full;label=boundscore_l2agiso_k256
2026-07-31T16:30:16.809,molering,bounds_core,gpu,NVIDIA RTX A6000,4,64,32,32,65536,-1,8,1,4,0,800,50,14,850,,393216,850,20,100.3899254,,,2286243840,1456918528,43534843904,43079696384,455147520,40764979364,43016781824,,,4.614382982,num_pos=400;outer_indices=1|134|267|400;outer_ok=1;outer[1]=5.31171;outer[134]=0.103865;outer[267]=0.0883269;outer[400]=0.07295;N_u=393216;t_c_projection=82.5062;t_gram_schmidt=10.2328;t_outer_total=5.57685;t_ss_basis=0.685805;tier=full;label=boundscore_l2agiso_k800
2026-07-31T16:31:31.190,molering,bounds_core,gpu,NVIDIA RTX A6000,4,96,32,32,98304,-1,8,1,4,0,256,50,14,306,,589824,306,20,37.7549903,,,2302464000,1456779264,38333906944,37878759424,455147520,36398897580,37815844864,,,4.931762934,num_pos=128;outer_indices=1|43|86|128;outer_ok=1;outer[1]=2.02929;outer[43]=0.020241;outer[86]=0.0168772;outer[128]=0.013475;N_u=589824;t_c_projection=31.467;t_gram_schmidt=2.12292;t_outer_total=2.07988;t_ss_basis=0.693201;tier=full;label=boundscore_l3aniso_k256
2026-07-31T16:32:48.807,molering,bounds_core,gpu,NVIDIA RTX A6000,4,128,32,32,131072,-1,8,1,4,0,256,50,14,306,,786432,306,20,39.98703912,,,2288816128,1454854144,27260944384,26805796864,455147520,26334974948,26742882304,,,4.342317104,num_pos=128;outer_indices=1|43|86|128;outer_ok=1;outer[1]=2.24471;outer[43]=0.0201254;outer[86]=0.0167481;outer[128]=0.0134689;N_u=786432;t_c_projection=33.1741;t_gram_schmidt=2.43888;t_outer_total=2.29505;t_ss_basis=0.686235;tier=full;label=boundscore_l4aniso_k256
