timestamp,cluster,kind,device,gpu_name,threads,n_x,n_y,n_z,n_cells,scale_num,scale_den,sep_num,sep_den,contact,rank,oversamples,power_iters,sketch_width,num_pos,dense_m,dense_c,reps,time_s,time_median_s,time_mean_s,peak_rss_bytes,baseline_rss_bytes,peak_vram_bytes,peak_vram_delta_bytes,baseline_vram_bytes,peak_vram_live_bytes,peak_vram_reserved_bytes,device_total_bytes,bytes_written,startup_s,extra
2026-07-30T09:46:09.526,narval,g0_ext,cpu,,4,8,8,8,512,1,32,0,1,1,1350,50,14,1400,,3072,1400,20,24.04480323,,,1573949440,1148985344,0,0,0,0,0,,,31.12252402,tier=quick;label=g0ext_l0p25_sep0ss1
2026-07-30T09:46:15.546,narval,g0_ext,cpu,,4,8,8,8,512,1,32,1,4,0,1350,50,14,1400,,3072,1400,20,6.351880746,,,1673924608,1158389760,0,0,0,0,0,,,52.8334341,tier=quick;label=g0ext_l0p25_sep1ss4
2026-07-30T09:46:21.001,narval,g0_self,cpu,,4,8,8,8,512,1,32,1,4,0,1350,50,14,1400,,3072,1400,20,23.55710532,,,1595899904,1148338176,0,0,0,0,0,,,43.11434889,tier=quick;label=g0self_l0p25
2026-07-30T09:46:33.729,narval,g0_ext,cpu,,4,8,8,8,512,1,32,1000,1,0,1350,50,14,1400,,3072,1400,20,6.159220937,,,1572925440,1151438848,0,0,0,0,0,,,72.21332502,tier=quick;label=g0ext_l0p25_sep1000ss1
2026-07-30T09:46:35.427,narval,g0_ext,cpu,,8,24,24,24,13824,1,32,1,4,0,1350,50,14,1400,,82944,1400,20,17.94508045,,,1708158976,1156792320,0,0,0,0,0,,,62.98126292,tier=quick;label=g0threads_l0p75_t8
2026-07-30T09:46:48.650,narval,g0_ext,cpu,,4,16,16,16,4096,1,32,1,4,0,1350,50,14,1400,,24576,1400,20,10.61234179,,,1569480704,1145503744,0,0,0,0,0,,,83.48122501,tier=quick;label=g0ext_l0p5_sep1ss4
2026-07-30T09:46:49.098,narval,g0_ext,cpu,,4,16,16,16,4096,1,32,1000,1,0,1350,50,14,1400,,24576,1400,20,10.89726375,,,1654968320,1153994752,0,0,0,0,0,,,83.39775109,tier=quick;label=g0ext_l0p5_sep1000ss1
2026-07-30T09:47:04.495,narval,g0_ext,cpu,,4,16,16,16,4096,1,32,0,1,1,1350,50,14,1400,,24576,1400,20,26.43563954,,,1613570048,1146871808,0,0,0,0,0,,,83.37940788,tier=quick;label=g0ext_l0p5_sep0ss1
2026-07-30T09:47:28.434,narval,g0_self,cpu,,4,16,16,16,4096,1,32,1,4,0,1350,50,14,1400,,24576,1400,20,27.22851325,,,1650741248,1153589248,0,0,0,0,0,,,104.935647,tier=quick;label=g0self_l0p5
2026-07-30T09:47:28.496,narval,g0_multiregion,cpu,,4,8,8,8,512,1,32,1,4,0,1350,50,14,1400,,3072,1400,20,39.93387797,,,1589645312,1151156224,0,0,0,0,0,,,94.13142204,tier=quick;label=g0uu_l0p25
2026-07-30T09:50:13.685,narval,g0_ext,cpu,,4,24,24,24,13824,1,32,0,1,1,1350,50,14,1400,,82944,1400,20,29.28228855,,,1685405696,1146793984,0,0,0,0,0,,,8.087882042,tier=quick;label=g0ext_l0p75_sep0ss1
2026-07-30T09:50:13.783,narval,g0_ext,cpu,,4,24,24,24,13824,1,32,1000,1,0,1350,50,14,1400,,82944,1400,20,28.17847504,,,1828122624,1154740224,0,0,0,0,0,,,8.774411917,tier=quick;label=g0ext_l0p75_sep1000ss1
2026-07-30T09:50:21.790,narval,g0_ext,cpu,,4,24,24,24,13824,1,32,1,4,0,1350,50,14,1400,,82944,1400,20,26.07627227,,,2035232768,1151762432,0,0,0,0,0,,,16.88388491,tier=quick;label=g0ext_l0p75_sep1ss4
2026-07-30T09:50:24.342,narval,g0_self,cpu,,4,32,32,32,32768,1,32,1,4,0,2750,50,14,2800,,196608,2800,20,29.81684663,,,1651015680,1124270080,0,0,0,0,0,,,17.82156205,tier=quick;label=g0self_l1
2026-07-30T09:50:30.277,narval,g0_ext,cpu,,4,32,32,32,32768,1,32,0,1,1,2750,50,14,2800,,196608,2800,20,36.08124245,,,1764585472,1137946624,0,0,0,0,0,,,17.80795002,tier=quick;label=g0ext_l1_sep0ss1
2026-07-30T09:50:33.440,narval,g0_ext,cpu,,4,32,32,32,32768,1,32,1,4,0,2750,50,14,2800,,196608,2800,20,45.99363227,,,1639358464,1155022848,0,0,0,0,0,,,9.113784075,tier=quick;label=g0ext_l1_sep1ss4
2026-07-30T09:50:52.927,narval,g0_self,cpu,,4,24,24,24,13824,1,32,1,4,0,1350,50,14,1400,,82944,1400,20,36.62501419,,,1745518592,1140850688,0,0,0,0,0,,,20.36592507,tier=quick;label=g0self_l0p75
2026-07-30T09:50:58.040,narval,g0_multiregion,cpu,,4,16,16,16,4096,1,32,1,4,0,1350,50,14,1400,,24576,1400,20,54.60966173,,,1651052544,1051262976,0,0,0,0,0,,,25.11915398,tier=quick;label=g0uu_l0p5
2026-07-30T09:51:00.491,narval,g0_ext,cpu,,4,32,32,32,32768,1,32,1000,1,0,2750,50,14,2800,,196608,2800,20,55.7485024,,,1692442624,1067372544,0,0,0,0,0,,,24.47010899,tier=quick;label=g0ext_l1_sep1000ss1
2026-07-30T09:51:13.879,narval,g0_multiregion,cpu,,4,24,24,24,13824,1,32,1,4,0,1350,50,14,1400,,82944,1400,20,79.0181144,,,1757294592,1145409536,0,0,0,0,0,,,6.255383015,tier=quick;label=g0uu_l0p75
2026-07-30T09:55:19.181,narval,g0_ext,cpu,,4,24,24,24,13824,1,32,1,4,0,1350,50,14,1400,,82944,1400,20,22.4093999,,,1659150336,1128898560,0,0,0,0,0,,,56.28945398,tier=quick;label=g0threads_l0p75_t4
2026-07-30T09:55:44.156,narval,g0_ext,cpu,,1,24,24,24,13824,1,32,1,4,0,1350,50,14,1400,,82944,1400,20,68.61526814,,,1649029120,1150058496,0,0,0,0,0,,,32.65164709,tier=quick;label=g0threads_l0p75_t1
2026-07-30T09:55:56.431,narval,g0_ext,cpu,,2,24,24,24,13824,1,32,1,4,0,1350,50,14,1400,,82944,1400,20,57.86636481,,,1734610944,1138647040,0,0,0,0,0,,,56.59336591,tier=quick;label=g0threads_l0p75_t2
2026-07-30T09:57:31.330,narval,g0_multiregion,cpu,,4,32,32,32,32768,1,32,1,4,0,2750,50,14,2800,,196608,2800,20,153.9229989,,,1797021696,1131466752,0,0,0,0,0,,,55.17710996,tier=quick;label=g0uu_l1
2026-07-30T10:40:20.708,narval,dense,gpu,NVIDIA A100-SXM4-40GB,4,32,32,32,32768,1,32,1,4,0,2750,50,14,2800,,196608,1400,12,1.455265826,,,1631965184,1278742528,23163109376,22716350464,446758912,22585639652,22615687168,,,19.99371099,dense_m=196608;dense_c=1400;dense_reps=3;t_axpy=2.65e-05;t_dot=3.4134e-05;t_eigh=0.0333135;t_geigh=0.0413294;t_gemm_NN=0.168601;t_gemm_TN=0.168369;t_svdvals=0.77616;t_sync=1.4648e-05;t_total=2.64311;tier=quick;label=dense_l1_c1400
2026-07-30T10:40:52.449,narval,dense,gpu,NVIDIA A100-SXM4-40GB,4,24,24,24,13824,1,32,1,4,0,1350,50,14,1400,,82944,2800,12,1.42642194,,,1628643328,1287753728,23666425856,23219666944,446758912,23104331012,23119003648,,,21.58273602,dense_m=82944;dense_c=2800;dense_reps=3;t_axpy=2.4406e-05;t_dot=3.2972e-05;t_eigh=0.162121;t_geigh=0.1904;t_gemm_NN=0.291649;t_gemm_TN=0.287145;t_svdvals=2.97282;t_sync=1.3875e-05;t_total=5.33063;tier=quick;label=dense_l0p75_c2800
2026-07-30T10:41:00.132,narval,dense,gpu,NVIDIA A100-SXM4-40GB,4,24,24,24,13824,1,32,1,4,0,1350,50,14,1400,,82944,1400,12,0.568083258,,,1647489024,1280258048,12056592384,11609833472,446758912,11480433412,11509170176,,,7.321434021,dense_m=82944;dense_c=1400;dense_reps=3;t_axpy=2.4707e-05;t_dot=3.3152e-05;t_eigh=0.0337915;t_geigh=0.0417778;t_gemm_NN=0.0737033;t_gemm_TN=0.0711003;t_svdvals=0.757098;t_sync=1.4507e-05;t_total=1.54563;tier=quick;label=dense_l0p75_c1400
2026-07-30T10:41:00.301,narval,dense,gpu,NVIDIA A100-SXM4-40GB,4,16,16,16,4096,1,32,1,4,0,1350,50,14,1400,,24576,2800,12,0.403326469,,,1645809664,1284681728,7862288384,7415529472,446758912,7295474948,7314866176,,,23.75941896,dense_m=24576;dense_c=2800;dense_reps=3;t_axpy=2.3995e-05;t_dot=3.1971e-05;t_eigh=0.162239;t_geigh=0.190657;t_gemm_NN=0.085429;t_gemm_TN=0.0832279;t_svdvals=2.90009;t_sync=1.4617e-05;t_total=3.82504;tier=quick;label=dense_l0p5_c2800
2026-07-30T10:41:12.189,narval,dense,gpu,NVIDIA A100-SXM4-40GB,4,32,32,32,32768,1,32,1,4,0,2750,50,14,2800,,196608,512,12,0.422559282,,,1638834176,1284005888,10645209088,10198450176,446758912,8578744644,10099884032,,,19.11207891,dense_m=196608;dense_c=512;dense_reps=3;t_axpy=2.6369e-05;t_dot=3.3694e-05;t_eigh=0.00869447;t_geigh=0.0103154;t_gemm_NN=0.0251099;t_gemm_TN=0.0270745;t_svdvals=0.122832;t_sync=1.4518e-05;t_total=0.61666;tier=quick;label=dense_l1_c512
2026-07-30T10:41:22.733,narval,bounds_core,gpu,NVIDIA A100-SXM4-40GB,4,32,32,32,32768,1,32,1,4,0,256,50,14,306,,196608,306,20,31.89375834,,,2394767360,1293381632,30211637248,29764878336,446758912,29631324228,29662117888,,,18.4451499,num_pos=128;outer_indices=1|43|86|128;setup_ok=0;setup_error=BoundsError;setup_where=getindex@tuple.jl:33<-#31@bounds.jl:466<-iterate@generator.jl:48;N_u=196608;tier=quick;label=boundscore_l1_k256
2026-07-30T10:41:34.471,narval,bounds_core,gpu,NVIDIA A100-SXM4-40GB,4,32,32,32,32768,1,32,1,4,0,800,50,14,850,,196608,850,20,73.15174218,,,2223042560,1293955072,31992119296,31545360384,446758912,30520103820,31440502784,,,20.0456121,num_pos=400;outer_indices=1|134|267|400;setup_ok=0;setup_error=BoundsError;setup_where=getindex@tuple.jl:33<-#31@bounds.jl:466<-iterate@generator.jl:48;N_u=196608;tier=quick;label=boundscore_l1_k800
2026-07-30T10:41:44.068,narval,bounds_core,gpu,NVIDIA A100-SXM4-40GB,4,8,8,8,512,1,32,1,4,0,256,50,14,306,,3072,306,20,24.10364917,,,2205413376,1292763136,1019281408,572522496,446758912,465094212,469762048,,,19.15389705,num_pos=128;outer_indices=1|43|86|128;setup_ok=0;setup_error=BoundsError;setup_where=getindex@tuple.jl:33<-#31@bounds.jl:466<-iterate@generator.jl:48;N_u=3072;tier=quick;label=boundscore_l0p25_k256
2026-07-30T10:41:48.173,narval,bounds_core,gpu,NVIDIA A100-SXM4-40GB,4,24,24,24,13824,1,32,1,4,0,800,50,14,850,,82944,850,20,63.57457188,,,2575716352,1288994816,31992119296,31545360384,446758912,31118151452,31440502784,,,21.58019209,num_pos=400;outer_indices=1|134|267|400;setup_ok=0;setup_error=BoundsError;setup_where=getindex@tuple.jl:33<-#31@bounds.jl:466<-iterate@generator.jl:48;N_u=82944;tier=quick;label=boundscore_l0p75_k800
2026-07-30T10:42:00.379,narval,bounds_core,gpu,NVIDIA A100-SXM4-40GB,4,16,16,16,4096,1,32,1,4,0,256,50,14,306,,24576,306,20,25.68990017,,,2256195584,1285840896,4274061312,3827302400,446758912,3706037316,3724541952,,,7.117254972,num_pos=128;outer_indices=1|43|86|128;setup_ok=0;setup_error=BoundsError;setup_where=getindex@tuple.jl:33<-#31@bounds.jl:466<-iterate@generator.jl:48;N_u=24576;tier=quick;label=boundscore_l0p5_k256
