timestamp,cluster,kind,device,gpu_name,threads,n_x,n_y,n_z,n_cells,scale_num,scale_den,sep_num,sep_den,contact,rank,oversamples,power_iters,sketch_width,num_pos,dense_m,dense_c,reps,time_s,time_median_s,time_mean_s,peak_rss_bytes,baseline_rss_bytes,peak_vram_bytes,peak_vram_delta_bytes,baseline_vram_bytes,peak_vram_live_bytes,peak_vram_reserved_bytes,device_total_bytes,bytes_written,startup_s,extra
2026-08-19T12:59:09.631,narval,stage_bounds,gpu,NVIDIA A100-SXM4-40GB,2,32,32,32,32768,1,32,1,32,0,4000,50,14,4050,,196608,4050,20,640.4384084,,,16162222080,1346830336,38331809792,37885050880,446758912,36034187064,37782290432,42404806656,,25.38148689,N_u=196608;gamma_rtol=1e-12;stored_num_pos=1987;outer_mode=sampled;outer_blocks=4;outer_block_len=24;outer_indices_requested=96;panel_front_end=0;num_pos=1987;complete=0;basis_size=1987;tau_grid_points=5;tau_cache_hits=564;tau_cache_misses=12;tau_grid_fallbacks=0;outer_indices_done=96;outer_s_total=299.336;outer_s_mean=3.11809;outer_s_median=3.33005;outer_s_min=1.54532;outer_s_max=6.35702;outer_n_min=1;outer_n_max=1514;tau_refine_whitenings_per_index=0.125;tau_grid_fallback_fraction=0;tau_grid_evals_per_index=3.08333;t_bounds=624.928;t_c_projection=155.082;t_c_range=1.98307;t_gram_schmidt=132.197;t_load=15.5104;t_outer_total=299.336;t_ss_basis=0.244925;tier=backfill;label=f_bounds_1l_p1;pick=1;picked_m=1987;picked_stored=1987;mode=sampled
2026-08-19T11:47:24.706,narval,stage_bounds,gpu,NVIDIA A100-SXM4-40GB MIG 3g.20gb,2,32,32,32,32768,1,32,3,8,0,4000,50,14,4050,,196608,4050,20,153.1657934,,,15932751872,1329942528,15979380736,15674114048,305266688,15162215304,15602810880,21072183296,,148.8817241,N_u=196608;gamma_rtol=1e-12;stored_num_pos=1900;outer_mode=full;num_pos=333;complete=1;basis_size=333;tau_grid_points=5;tau_cache_hits=1956;tau_cache_misses=67;tau_grid_fallbacks=1;outer_indices_done=333;outer_s_total=56.114;outer_s_mean=0.168511;outer_s_median=0.162862;outer_s_min=0.0425942;outer_s_max=0.611966;outer_n_min=1;outer_n_max=333;tau_refine_whitenings_per_index=0.201201;tau_grid_fallback_fraction=0.003003;tau_grid_evals_per_index=3.09009;t_c_projection=32.1875;t_c_range=1.31315;t_gram_schmidt=18.4913;t_outer_total=56.114;t_ss_basis=0.130474;tier=backfill;label=f_bounds_1l_p2;pick=2;picked_m=333;picked_stored=1900;mode=full
2026-08-19T11:46:09.487,narval,stage_bounds,gpu,NVIDIA A100-SXM4-40GB MIG 3g.20gb,2,32,32,32,32768,1,32,33,16,0,4000,50,14,4050,,196608,4050,20,77.95880174,,,15005310976,1329405952,12017860608,11712593920,305266688,11397385296,11643387904,21072183296,,147.8822069,N_u=196608;gamma_rtol=1e-12;stored_num_pos=1778;outer_mode=full;num_pos=54;complete=1;basis_size=54;tau_grid_points=5;tau_cache_hits=307;tau_cache_misses=20;tau_grid_fallbacks=1;outer_indices_done=54;outer_s_total=1.53446;outer_s_mean=0.028416;outer_s_median=0.0207884;outer_s_min=0.00950241;outer_s_max=0.340394;outer_n_min=1;outer_n_max=54;tau_refine_whitenings_per_index=0.37037;tau_grid_fallback_fraction=0.0185185;tau_grid_evals_per_index=3.12963;t_c_projection=13.6584;t_c_range=1.16167;t_gram_schmidt=13.7848;t_outer_total=1.53446;t_ss_basis=0.134304;tier=backfill;label=f_bounds_1l_p3;pick=3;picked_m=54;picked_stored=1778;mode=full
2026-08-19T11:46:03.434,narval,stage_bounds,gpu,NVIDIA A100-SXM4-40GB MIG 3g.20gb,2,32,32,32,32768,1,32,895,32,0,4000,50,14,4050,,196608,4050,20,72.66434655,,,15455551488,1330601984,2924609536,2619342848,305266688,2534743068,2550136832,21072183296,,148.8018849,N_u=196608;gamma_rtol=1e-12;stored_num_pos=1872;outer_mode=full;num_pos=9;complete=1;basis_size=9;tau_grid_points=5;tau_cache_hits=43;tau_cache_misses=13;tau_grid_fallbacks=1;outer_indices_done=9;outer_s_total=0.400405;outer_s_mean=0.0444894;outer_s_median=0.00487701;outer_s_min=0.00316535;outer_s_max=0.319462;outer_n_min=1;outer_n_max=9;tau_refine_whitenings_per_index=1.44444;tau_grid_fallback_fraction=0.111111;tau_grid_evals_per_index=3.55556;t_c_projection=10.1475;t_c_range=1.59086;t_gram_schmidt=14.4602;t_outer_total=0.400405;t_ss_basis=0.294834;tier=backfill;label=f_bounds_1l_p4;pick=4;picked_m=9;picked_stored=1872;mode=full
2026-08-19T11:45:38.520,narval,stage_greens,cpu,,4,16,16,16,4096,1,32,1,32,0,4000,50,14,4050,,24576,4050,20,74.66060257,,,1881706496,1199521792,0,0,0,0,0,0,4669900,123.9410801,tier=backfill;label=f_greens_0p5
2026-08-19T11:57:12.269,narval,stage_rsvd,gpu,NVIDIA A100-SXM4-40GB MIG 3g.20gb,2,16,16,16,4096,1,32,1,32,0,4000,50,1,4050,,24576,4050,20,349.7862088,,,3122180096,1327210496,11250302976,10945036288,305266688,10804938684,10871635968,21072183296,784929340,20.8039391,N_u=24576;sketch_width=4050;seed=20260819;force_path=auto;fresh=1;workspace_bytes=539230208;predicate_says_panel=0;slurm_mem_per_node_mb=10240;slurm_tmpdir=1;device_budget=18964964966;num_pos=1996;out_seed=20260819;exact=false;positive_fraction=0.499;jld=/home/pvirally/scratch/psc-calibration//backfill/rsvd_0p5_q1/16x16x16__16x16x16__1ss32__RS.jld;tier=backfill;label=f_rsvd_0p5_q1
2026-08-19T12:00:59.747,narval,stage_rsvd,gpu,NVIDIA A100-SXM4-40GB MIG 3g.20gb,2,16,16,16,4096,1,32,1,32,0,4000,50,3,4050,,24576,4050,20,577.1425202,,,3146563584,1322594304,11384520704,11079254016,305266688,10959571748,11005853696,21072183296,784929340,21.80527091,N_u=24576;sketch_width=4050;seed=20260819;force_path=auto;fresh=1;workspace_bytes=539230208;predicate_says_panel=0;slurm_mem_per_node_mb=10240;slurm_tmpdir=1;device_budget=18964964966;num_pos=1996;out_seed=20260819;exact=false;positive_fraction=0.499;jld=/home/pvirally/scratch/psc-calibration//backfill/rsvd_0p5_q3/16x16x16__16x16x16__1ss32__RS.jld;tier=backfill;label=f_rsvd_0p5_q3
2026-08-19T12:04:03.028,narval,stage_rsvd,gpu,NVIDIA A100-SXM4-40GB MIG 3g.20gb,2,16,16,16,4096,1,32,1,32,0,4000,50,5,4050,,24576,4050,20,761.0202407,,,3173957632,1329987584,10881204224,10575937536,305266688,10445535916,10502537216,21072183296,784929340,21.80488896,N_u=24576;sketch_width=4050;seed=20260819;force_path=auto;fresh=1;workspace_bytes=539230208;predicate_says_panel=0;slurm_mem_per_node_mb=10240;slurm_tmpdir=1;device_budget=18964964966;num_pos=1996;out_seed=20260819;exact=false;positive_fraction=0.499;jld=/home/pvirally/scratch/psc-calibration//backfill/rsvd_0p5_q5/16x16x16__16x16x16__1ss32__RS.jld;tier=backfill;label=f_rsvd_0p5_q5
2026-08-19T13:07:09.133,narval,stage_rsvd,gpu,NVIDIA A100-SXM4-40GB,2,32,32,32,32768,1,32,1,32,0,4000,50,1,4050,,196608,4050,20,1112.20545,,,39786385408,1341390848,42331078656,41884319744,446758912,37949322288,41775267840,42404806656,6370168078,24.84076905,N_u=196608;sketch_width=4050;seed=20260819;force_path=auto;fresh=1;workspace_bytes=555745280;predicate_says_panel=1;slurm_mem_per_node_mb=43008;slurm_tmpdir=1;device_budget=38164325990;num_pos=1986;out_seed=20260819;exact=false;vectors_file=32x32x32__32x32x32__1ss32__RS_UR_asym_Vpos.h5;positive_fraction=0.4965;jld=/home/pvirally/scratch/psc-calibration//backfill/rsvd_1l_q1/32x32x32__32x32x32__1ss32__RS.jld;tier=backfill;label=f_rsvd_1l_q1
2026-08-19T13:20:24.842,narval,stage_rsvd,gpu,NVIDIA A100-SXM4-40GB,2,32,32,32,32768,1,32,1,32,0,4000,50,3,4050,,196608,4050,20,1907.747529,,,39724580864,1346072576,42333175808,41886416896,446758912,37406681072,41775267840,42404806656,6370168078,24.82844901,N_u=196608;sketch_width=4050;seed=20260819;force_path=auto;fresh=1;workspace_bytes=555745280;predicate_says_panel=1;slurm_mem_per_node_mb=43008;slurm_tmpdir=1;device_budget=38164325990;num_pos=1986;out_seed=20260819;exact=false;vectors_file=32x32x32__32x32x32__1ss32__RS_UR_asym_Vpos.h5;positive_fraction=0.4965;jld=/home/pvirally/scratch/psc-calibration//backfill/rsvd_1l_q3/32x32x32__32x32x32__1ss32__RS.jld;tier=backfill;label=f_rsvd_1l_q3
