sep_num,sep_den,sep,kept,stored,total,gamma_rtol,h5_bytes,jld
1,32,0.03125,1987,1987,4000,1e-12,6370102506,32x32x32__32x32x32__1ss32__RS.jld
1,16,0.0625,1978,1978,4000,1e-12,6370102506,32x32x32__32x32x32__1ss16__RS.jld
3,32,0.09375,1968,1968,4000,1e-12,6370102506,32x32x32__32x32x32__3ss32__RS.jld
1,8,0.125,1960,1960,4000,1e-12,6370102506,32x32x32__32x32x32__1ss8__RS.jld
5,32,0.15625,1953,1953,4000,1e-12,6370102506,32x32x32__32x32x32__5ss32__RS.jld
3,16,0.1875,1946,1946,4000,1e-12,6370102506,32x32x32__32x32x32__3ss16__RS.jld
7,32,0.21875,1939,1939,4000,1e-12,6370102506,32x32x32__32x32x32__7ss32__RS.jld
1,4,0.25,578,1863,4000,1e-12,6370102506,32x32x32__32x32x32__1ss4__RS.jld
9,32,0.28125,491,1975,4000,1e-12,6370102506,32x32x32__32x32x32__9ss32__RS.jld
5,16,0.3125,423,1892,4000,1e-12,6370102506,32x32x32__32x32x32__5ss16__RS.jld
11,32,0.34375,374,1806,4000,1e-12,6370102506,32x32x32__32x32x32__11ss32__RS.jld
3,8,0.375,333,1900,4000,1e-12,6370102506,32x32x32__32x32x32__3ss8__RS.jld
13,32,0.40625,305,1967,4000,1e-12,6370102506,32x32x32__32x32x32__13ss32__RS.jld
7,16,0.4375,277,322,4000,1e-12,1012927722,32x32x32__32x32x32__7ss16__RS.jld
15,32,0.46875,251,1857,4000,1e-12,6370102506,32x32x32__32x32x32__15ss32__RS.jld
1,2,0.5,233,1851,4000,1e-12,6370102506,32x32x32__32x32x32__1ss2__RS.jld
17,32,0.53125,217,2006,4000,1e-12,6370102506,32x32x32__32x32x32__17ss32__RS.jld
9,16,0.5625,205,2076,4000,1e-12,8493468906,32x32x32__32x32x32__9ss16__RS.jld
19,32,0.59375,188,1876,4000,1e-12,6370102506,32x32x32__32x32x32__19ss32__RS.jld
5,8,0.625,181,1955,4000,1e-12,6370102506,32x32x32__32x32x32__5ss8__RS.jld
21,32,0.65625,168,1831,4000,1e-12,6370102506,32x32x32__32x32x32__21ss32__RS.jld
11,16,0.6875,162,1924,4000,1e-12,6370102506,32x32x32__32x32x32__11ss16__RS.jld
23,32,0.71875,155,203,4000,1e-12,638586090,32x32x32__32x32x32__23ss32__RS.jld
3,4,0.75,146,1767,4000,1e-12,6370102506,32x32x32__32x32x32__3ss4__RS.jld
25,32,0.78125,142,1958,4000,1e-12,6370102506,32x32x32__32x32x32__25ss32__RS.jld
13,16,0.8125,134,1956,4000,1e-12,6370102506,32x32x32__32x32x32__13ss16__RS.jld
27,32,0.84375,127,1937,4000,1e-12,6370102506,32x32x32__32x32x32__27ss32__RS.jld
7,8,0.875,123,1894,4000,1e-12,6370102506,32x32x32__32x32x32__7ss8__RS.jld
29,32,0.90625,122,1861,4000,1e-12,6370102506,32x32x32__32x32x32__29ss32__RS.jld
15,16,0.9375,116,1999,4000,1e-12,6370102506,32x32x32__32x32x32__15ss16__RS.jld
31,32,0.96875,109,2001,4000,1e-12,6370102506,32x32x32__32x32x32__31ss32__RS.jld
1,1,1,108,2029,4000,1e-12,8493468906,32x32x32__32x32x32__1ss1__RS.jld
33,32,1.03125,107,1801,4000,1e-12,6370102506,32x32x32__32x32x32__33ss32__RS.jld
17,16,1.0625,103,1939,4000,1e-12,6370102506,32x32x32__32x32x32__17ss16__RS.jld
35,32,1.09375,98,1914,4000,1e-12,6370102506,32x32x32__32x32x32__35ss32__RS.jld
9,8,1.125,95,1905,4000,1e-12,6370102506,32x32x32__32x32x32__9ss8__RS.jld
37,32,1.15625,95,2083,4000,1e-12,8493468906,32x32x32__32x32x32__37ss32__RS.jld
19,16,1.1875,92,1828,4000,1e-12,6370102506,32x32x32__32x32x32__19ss16__RS.jld
39,32,1.21875,89,1879,4000,1e-12,6370102506,32x32x32__32x32x32__39ss32__RS.jld
41,32,1.28125,84,1914,4000,1e-12,6370102506,32x32x32__32x32x32__41ss32__RS.jld
21,16,1.3125,82,2013,4000,1e-12,6370102506,32x32x32__32x32x32__21ss16__RS.jld
43,32,1.34375,82,1906,4000,1e-12,6370102506,32x32x32__32x32x32__43ss32__RS.jld
45,32,1.40625,78,1920,4000,1e-12,6370102506,32x32x32__32x32x32__45ss32__RS.jld
23,16,1.4375,76,111,4000,1e-12,349179114,32x32x32__32x32x32__23ss16__RS.jld
47,32,1.46875,76,1826,4000,1e-12,6370102506,32x32x32__32x32x32__47ss32__RS.jld
49,32,1.53125,71,1943,4000,1e-12,6370102506,32x32x32__32x32x32__49ss32__RS.jld
25,16,1.5625,68,1873,4000,1e-12,6370102506,32x32x32__32x32x32__25ss16__RS.jld
13,8,1.625,67,1719,4000,1e-12,6370102506,32x32x32__32x32x32__13ss8__RS.jld
27,16,1.6875,67,1730,4000,1e-12,6370102506,32x32x32__32x32x32__27ss16__RS.jld
55,32,1.71875,67,1889,4000,1e-12,6370102506,32x32x32__32x32x32__55ss32__RS.jld
57,32,1.78125,63,1760,4000,1e-12,6370102506,32x32x32__32x32x32__57ss32__RS.jld
59,32,1.84375,62,1863,4000,1e-12,6370102506,32x32x32__32x32x32__59ss32__RS.jld
61,32,1.90625,62,1841,4000,1e-12,6370102506,32x32x32__32x32x32__61ss32__RS.jld
31,16,1.9375,59,1920,4000,1e-12,6370102506,32x32x32__32x32x32__31ss16__RS.jld
2,1,2,56,1871,4000,1e-12,6370102506,32x32x32__32x32x32__2ss1__RS.jld
33,16,2.0625,54,1778,4000,1e-12,6370102506,32x32x32__32x32x32__33ss16__RS.jld
17,8,2.125,54,2078,4000,1e-12,8493468906,32x32x32__32x32x32__17ss8__RS.jld
71,32,2.21875,51,1838,4000,1e-12,6370102506,32x32x32__32x32x32__71ss32__RS.jld
73,32,2.28125,50,1886,4000,1e-12,6370102506,32x32x32__32x32x32__73ss32__RS.jld
75,32,2.34375,50,1828,4000,1e-12,6370102506,32x32x32__32x32x32__75ss32__RS.jld
77,32,2.40625,50,1870,4000,1e-12,6370102506,32x32x32__32x32x32__77ss32__RS.jld
5,2,2.5,48,1825,4000,1e-12,6370102506,32x32x32__32x32x32__5ss2__RS.jld
41,16,2.5625,48,2000,4000,1e-12,6370102506,32x32x32__32x32x32__41ss16__RS.jld
85,32,2.65625,46,1917,4000,1e-12,6370102506,32x32x32__32x32x32__85ss32__RS.jld
87,32,2.71875,44,1848,4000,1e-12,6370102506,32x32x32__32x32x32__87ss32__RS.jld
45,16,2.8125,44,1812,4000,1e-12,6370102506,32x32x32__32x32x32__45ss16__RS.jld
93,32,2.90625,44,1835,4000,1e-12,6370102506,32x32x32__32x32x32__93ss32__RS.jld
3,1,3,43,1818,4000,1e-12,6370102506,32x32x32__32x32x32__3ss1__RS.jld
99,32,3.09375,39,1857,4000,1e-12,6370102506,32x32x32__32x32x32__99ss32__RS.jld
51,16,3.1875,38,2024,4000,1e-12,6370102506,32x32x32__32x32x32__51ss16__RS.jld
105,32,3.28125,38,1951,4000,1e-12,6370102506,32x32x32__32x32x32__105ss32__RS.jld
27,8,3.375,37,1795,4000,1e-12,6370102506,32x32x32__32x32x32__27ss8__RS.jld
7,2,3.5,37,1958,4000,1e-12,6370102506,32x32x32__32x32x32__7ss2__RS.jld
115,32,3.59375,35,1901,4000,1e-12,6370102506,32x32x32__32x32x32__115ss32__RS.jld
119,32,3.71875,35,1863,4000,1e-12,6370102506,32x32x32__32x32x32__119ss32__RS.jld
61,16,3.8125,35,1814,4000,1e-12,6370102506,32x32x32__32x32x32__61ss16__RS.jld
63,16,3.9375,32,1927,4000,1e-12,6370102506,32x32x32__32x32x32__63ss16__RS.jld
65,16,4.0625,32,1993,4000,1e-12,6370102506,32x32x32__32x32x32__65ss16__RS.jld
67,16,4.1875,32,1853,4000,1e-12,6370102506,32x32x32__32x32x32__67ss16__RS.jld
69,16,4.3125,31,1843,4000,1e-12,6370102506,32x32x32__32x32x32__69ss16__RS.jld
143,32,4.46875,30,1853,4000,1e-12,6370102506,32x32x32__32x32x32__143ss32__RS.jld
147,32,4.59375,30,1843,4000,1e-12,6370102506,32x32x32__32x32x32__147ss32__RS.jld
19,4,4.75,30,1855,4000,1e-12,6370102506,32x32x32__32x32x32__19ss4__RS.jld
39,8,4.875,30,1880,4000,1e-12,6370102506,32x32x32__32x32x32__39ss8__RS.jld
161,32,5.03125,28,1845,4000,1e-12,6370102506,32x32x32__32x32x32__161ss32__RS.jld
83,16,5.1875,26,1967,4000,1e-12,6370102506,32x32x32__32x32x32__83ss16__RS.jld
171,32,5.34375,26,1951,4000,1e-12,6370102506,32x32x32__32x32x32__171ss32__RS.jld
177,32,5.53125,26,1996,4000,1e-12,6370102506,32x32x32__32x32x32__177ss32__RS.jld
91,16,5.6875,24,1942,4000,1e-12,6370102506,32x32x32__32x32x32__91ss16__RS.jld
47,8,5.875,24,1882,4000,1e-12,6370102506,32x32x32__32x32x32__47ss8__RS.jld
97,16,6.0625,24,1826,4000,1e-12,6370102506,32x32x32__32x32x32__97ss16__RS.jld
25,4,6.25,22,1878,4000,1e-12,6370102506,32x32x32__32x32x32__25ss4__RS.jld
103,16,6.4375,22,1924,4000,1e-12,6370102506,32x32x32__32x32x32__103ss16__RS.jld
53,8,6.625,22,1989,4000,1e-12,6370102506,32x32x32__32x32x32__53ss8__RS.jld
219,32,6.84375,22,1861,4000,1e-12,6370102506,32x32x32__32x32x32__219ss32__RS.jld
113,16,7.0625,20,1900,4000,1e-12,6370102506,32x32x32__32x32x32__113ss16__RS.jld
233,32,7.28125,20,1874,4000,1e-12,6370102506,32x32x32__32x32x32__233ss32__RS.jld
15,2,7.5,20,1928,4000,1e-12,6370102506,32x32x32__32x32x32__15ss2__RS.jld
247,32,7.71875,20,1924,4000,1e-12,6370102506,32x32x32__32x32x32__247ss32__RS.jld
255,32,7.96875,20,1883,4000,1e-12,6370102506,32x32x32__32x32x32__255ss32__RS.jld
263,32,8.21875,20,1879,4000,1e-12,6370102506,32x32x32__32x32x32__263ss32__RS.jld
