label,kind,threads,host_GB,time_limit_s,gpu,args
memgreens_l0p25,stage_greens,4,8,3600,0,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
memrsvd_l0p25,mem_rsvd,4,32,1800,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --sep 1//4 --power-iters 2"
memgreens_l0p5,stage_greens,4,8,3600,0,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
memrsvd_l0p5,mem_rsvd,4,32,1800,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --sep 1//4 --power-iters 2"
memgreens_l0p75,stage_greens,4,8,3600,0,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
memrsvd_l0p75,mem_rsvd,4,33,1800,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --sep 1//4 --power-iters 2"
memgreens_l1,stage_greens,4,8,3972,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
memrsvd_l1,mem_rsvd,4,110,4301,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --sep 1//4 --power-iters 2"
memgreens_l2agiso,stage_greens,4,8,4850,0,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
memrsvd_l2agiso,mem_rsvd,4,108,3426,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --sep 1//4 --power-iters 2"
memgreens_l3aniso,stage_greens,4,8,5739,0,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
memrsvd_l3aniso,mem_rsvd,4,98,2882,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --sep 1//4 --power-iters 2"
memgreens_l4aniso,stage_greens,4,8,6636,0,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
memrsvd_l4aniso,mem_rsvd,4,98,2828,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --sep 1//4 --power-iters 2"
memgreens_l2iso,stage_greens,4,8,10274,0,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
memrsvd_l2iso,mem_rsvd,4,182,5387,1,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --sep 1//4 --power-iters 2"
