label,kind,threads,host_GB,time_limit_s,gpu,args
stagegreens_l0p25_sep1ss4,stage_greens,4,8,3600,0,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l0p25_sep1ss4,stage_rsvd,4,16,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l0p25_sep1ss4,stage_bounds,4,16,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l0p25_sep0ss1,stage_greens,4,8,3600,0,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagersvd_l0p25_sep0ss1,stage_rsvd,4,16,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagebounds_l0p25_sep0ss1,stage_bounds,4,16,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagegreens_l0p5_sep1ss4,stage_greens,4,8,3600,0,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l0p5_sep1ss4,stage_rsvd,4,16,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l0p5_sep1ss4,stage_bounds,4,16,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l0p5_sep0ss1,stage_greens,4,8,3600,0,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagersvd_l0p5_sep0ss1,stage_rsvd,4,16,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagebounds_l0p5_sep0ss1,stage_bounds,4,16,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagegreens_l0p75_sep1ss4,stage_greens,4,8,3600,0,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l0p75_sep1ss4,stage_rsvd,4,25,3600,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l0p75_sep1ss4,stage_bounds,4,25,3600,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l1_sep1ss4,stage_greens,4,8,3972,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l1_sep1ss4,stage_rsvd,4,83,8602,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l1_sep1ss4,stage_bounds,4,83,13672,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l2agiso_sep1ss4,stage_greens,4,8,4850,0,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l2agiso_sep1ss4,stage_rsvd,4,81,6851,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l2agiso_sep1ss4,stage_bounds,4,81,3600,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l3aniso_sep1ss4,stage_greens,4,8,5739,0,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l3aniso_sep1ss4,stage_rsvd,4,73,5763,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l3aniso_sep1ss4,stage_bounds,4,73,3600,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l4aniso_sep1ss4,stage_greens,4,8,6636,0,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l4aniso_sep1ss4,stage_rsvd,4,73,5656,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l4aniso_sep1ss4,stage_bounds,4,73,3600,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l2iso_sep1ss4,stage_greens,4,8,10274,0,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l2iso_sep1ss4,stage_rsvd,4,137,10774,1,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l2iso_sep1ss4,stage_bounds,4,137,3600,1,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
