label,kind,threads,host_GB,time_limit_s,gpu,gpu_request,depends_on,predicted_wall_s,predicted_gpu_h,args
f_greens_0p5,stage_greens,4,12,3768,0,,,161,0.000,"--cells 16,16,16 --scale 1//32 --chi 4.25+0.0342557im --design rs --rank 4000 --oversamples 50 --power-iters 14 --seed 20260819 --preload $PRELOAD_0P5 --sep $SEP_RSVD"
f_rsvd_0p5_q1,stage_rsvd,2,10,1800,1,a100_3g.20gb,f_greens_0p5,627,0.087,"--cells 16,16,16 --scale 1//32 --chi 4.25+0.0342557im --design rs --rank 4000 --oversamples 50 --power-iters 1 --seed 20260819 --scratch $CAL_ROOT/backfill/rsvd_0p5_q1 --preload $PRELOAD_0P5 --fresh --sep $SEP_RSVD"
f_rsvd_0p5_q3,stage_rsvd,2,10,2716,1,a100_3g.20gb,f_greens_0p5,1086,0.151,"--cells 16,16,16 --scale 1//32 --chi 4.25+0.0342557im --design rs --rank 4000 --oversamples 50 --power-iters 3 --seed 20260819 --scratch $CAL_ROOT/backfill/rsvd_0p5_q3 --preload $PRELOAD_0P5 --fresh --sep $SEP_RSVD"
f_rsvd_0p5_q5,stage_rsvd,2,10,3864,1,a100_3g.20gb,f_greens_0p5,1546,0.215,"--cells 16,16,16 --scale 1//32 --chi 4.25+0.0342557im --design rs --rank 4000 --oversamples 50 --power-iters 5 --seed 20260819 --scratch $CAL_ROOT/backfill/rsvd_0p5_q5 --preload $PRELOAD_0P5 --fresh --sep $SEP_RSVD"
f_rsvd_1l_q1,stage_rsvd,2,42,1800,1,a100,,608,0.169,"--cells 32,32,32 --scale 1//32 --chi 4.25+0.0342557im --design rs --rank 4000 --oversamples 50 --power-iters 1 --seed 20260819 --scratch $CAL_ROOT/backfill/rsvd_1l_q1 --preload $PROD_PRELOAD --fresh --sep $SEP_RSVD"
f_rsvd_1l_q3,stage_rsvd,2,42,2581,1,a100,,1032,0.287,"--cells 32,32,32 --scale 1//32 --chi 4.25+0.0342557im --design rs --rank 4000 --oversamples 50 --power-iters 3 --seed 20260819 --scratch $CAL_ROOT/backfill/rsvd_1l_q3 --preload $PROD_PRELOAD --fresh --sep $SEP_RSVD"
f_rsvd_1l_q5,stage_rsvd,2,42,3641,1,a100,,1456,0.405,"--cells 32,32,32 --scale 1//32 --chi 4.25+0.0342557im --design rs --rank 4000 --oversamples 50 --power-iters 5 --seed 20260819 --scratch $CAL_ROOT/backfill/rsvd_1l_q5 --preload $PROD_PRELOAD --fresh --sep $SEP_RSVD"
f_bounds_1l_p1,stage_bounds,2,picker,picker,1,picker,,picker,picker,"--cells 32,32,32 --scale 1//32 --chi 4.25+0.0342557im --design rs --rank 4000 --oversamples 50 --power-iters 14 --seed 20260819 --gamma-rtol 1.0e-12 --outer-block-len 24 --sep $SEP --outer-blocks $BLOCKS --scratch $PROD_SCRATCH --preload $PROD_PRELOAD"
f_bounds_1l_p2,stage_bounds,2,picker,picker,1,picker,,picker,picker,"--cells 32,32,32 --scale 1//32 --chi 4.25+0.0342557im --design rs --rank 4000 --oversamples 50 --power-iters 14 --seed 20260819 --gamma-rtol 1.0e-12 --outer-block-len 24 --sep $SEP --outer-blocks $BLOCKS --scratch $PROD_SCRATCH --preload $PROD_PRELOAD"
f_bounds_1l_p3,stage_bounds,2,picker,picker,1,picker,,picker,picker,"--cells 32,32,32 --scale 1//32 --chi 4.25+0.0342557im --design rs --rank 4000 --oversamples 50 --power-iters 14 --seed 20260819 --gamma-rtol 1.0e-12 --outer-block-len 24 --sep $SEP --outer-blocks $BLOCKS --scratch $PROD_SCRATCH --preload $PROD_PRELOAD"
f_bounds_1l_p4,stage_bounds,2,picker,picker,1,picker,,picker,picker,"--cells 32,32,32 --scale 1//32 --chi 4.25+0.0342557im --design rs --rank 4000 --oversamples 50 --power-iters 14 --seed 20260819 --gamma-rtol 1.0e-12 --outer-block-len 24 --sep $SEP --outer-blocks $BLOCKS --scratch $PROD_SCRATCH --preload $PROD_PRELOAD"
