label,kind,threads,host_GB,time_limit_s,gpu,gpu_request,depends_on,predicted_wall_s,predicted_gpu_h,args
e1_panelbus,panel_bus,4,32,3600,1,a100,,0,0.000,"--scratch $CAL_ROOT/funicular/e1_panelbus --reps 5"
fungreens_l1,stage_greens,4,8,3600,0,,,296,0.000,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 4000 --oversamples 50 --power-iters 14 --seed 20260814"
fungreens_l2,stage_greens,4,8,4579,0,,,458,0.000,"--cells 64,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 4000 --oversamples 50 --power-iters 14 --seed 20260814"
fungreens_l4,stage_greens,4,8,7840,0,,,784,0.000,"--cells 128,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 4000 --oversamples 50 --power-iters 14 --seed 20260814"
e2_l1_inmem,stage_rsvd,4,16,3600,1,a100,fungreens_l1,1150,0.319,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 1350 --oversamples 50 --power-iters 14 --seed 20260814 --scratch $CAL_ROOT/funicular/e2_l1_inmem --fresh --force-path auto"
e2_l1_panel,stage_rsvd,4,20,3600,1,a100,fungreens_l1,1136,0.315,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 1350 --oversamples 50 --power-iters 14 --seed 20260814 --scratch $CAL_ROOT/funicular/e2_l1_panel --fresh --force-path panel"
e3d_l1_k4000,stage_rsvd,4,37,22153,1,a100_3g.20gb,fungreens_l1,8861,1.231,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 4000 --oversamples 50 --power-iters 14 --seed 20260814 --scratch $CAL_ROOT/funicular/e3d_l1_k4000 --fresh --force-path panel"
e3a_l2_slice,stage_rsvd,4,60,38390,1,a100_3g.20gb,fungreens_l2,15356,2.133,"--cells 64,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 4000 --oversamples 50 --power-iters 14 --seed 20260814 --scratch $CAL_ROOT/funicular/e3a_l2_slice --fresh --force-path panel"
e3a_l2_full,stage_rsvd,4,60,14589,1,a100,fungreens_l2,5835,1.621,"--cells 64,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 4000 --oversamples 50 --power-iters 14 --seed 20260814 --scratch $CAL_ROOT/funicular/e3a_l2_full --fresh --force-path panel"
e3b_l4_full,stage_rsvd,4,118,27491,1,a100,fungreens_l4,10996,3.055,"--cells 128,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 4000 --oversamples 50 --power-iters 14 --seed 20260814 --scratch $CAL_ROOT/funicular/e3b_l4_full --fresh --force-path panel"
e3c_l4_spill,stage_rsvd,4,66,43986,1,a100,fungreens_l4,10996,3.055,"--cells 128,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 4000 --oversamples 50 --power-iters 14 --seed 20260814 --scratch $CAL_ROOT/funicular/e3c_l4_spill --fresh --force-path panel"
e4_bounds_l1_k4000,stage_bounds,4,34,86400,1,a100_3g.20gb,e3d_l1_k4000,51410,7.140,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 4000 --oversamples 50 --power-iters 14 --seed 20260814 --scratch $CAL_ROOT/funicular/e3d_l1_k4000"
e4_bounds_l4_k4000,stage_bounds,4,104,86400,1,a100,e3b_l4_full,43859,12.183,"--cells 128,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 4000 --oversamples 50 --power-iters 14 --seed 20260814 --scratch $CAL_ROOT/funicular/e3b_l4_full"
e4_bounds_l1_k1350,stage_bounds,4,19,4692,1,a100_3g.20gb,e2_l1_panel,1877,0.261,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --sep 1//2 --rank 1350 --oversamples 50 --power-iters 14 --seed 20260814 --scratch $CAL_ROOT/funicular/e2_l1_panel"
