label,kind,threads,host_GB,time_limit_s,gpu,gpu_request,depends_on,predicted_wall_s,predicted_gpu_h,args
refg_c0p25_g1,stage_greens,12,11,2674,0,,,1337,0.000,"--cells 8,8,8 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 1//32 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refg_c0p25_g3,stage_greens,12,11,3674,0,,,1837,0.000,"--cells 8,8,8 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 3//32 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refg_c1lam_g1,stage_greens,12,15,6387,0,,,3193,0.000,"--cells 32,32,32 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 1//32 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refg_c1lam_g2,stage_greens,12,13,5132,0,,,2566,0.000,"--cells 32,32,32 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 1//16 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refg_c2lam_g1,stage_greens,12,19,8858,0,,,4429,0.000,"--cells 64,32,32 --scale -1//8 --chi 18.612+1.5502660841406073im --sep 1//32 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refg_c2lam_g5,stage_greens,12,14,5824,0,,,2912,0.000,"--cells 64,32,32 --scale -1//8 --chi 18.612+1.5502660841406073im --sep 5//32 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refg_c0p25_g6,stage_greens,12,11,1827,0,,,913,0.000,"--cells 8,8,8 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 3//16 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refg_c1lam_g6,stage_greens,12,11,2015,0,,,1007,0.000,"--cells 32,32,32 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 3//16 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refg_c2lam_g6,stage_greens,12,11,2209,0,,,1104,0.000,"--cells 64,32,32 --scale -1//8 --chi 18.612+1.5502660841406073im --sep 3//16 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refmv_ext_c1lam_g1,matvec_ext,12,16,600,1,,refg_c1lam_g1,69,0.019,"--cells 32,32,32 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 1//32 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refmv_self_c1lam_g1,matvec_self,12,16,600,1,,refg_c1lam_g1,69,0.019,"--cells 32,32,32 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 1//32 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refmv_uu_c1lam_g1,matvec_uu,12,16,600,1,,refg_c1lam_g1,74,0.020,"--cells 32,32,32 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 1//32 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refmv_ext_c1lam_g6,matvec_ext,12,16,600,1,,refg_c1lam_g6,67,0.019,"--cells 32,32,32 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 3//16 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refmv_self_c1lam_g6,matvec_self,12,16,600,1,,refg_c1lam_g6,67,0.019,"--cells 32,32,32 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 3//16 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refmv_uu_c1lam_g6,matvec_uu,12,16,600,1,,refg_c1lam_g6,68,0.019,"--cells 32,32,32 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 3//16 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine"
refrsvd_c1lam_g1,stage_rsvd,12,24,8988,1,,refg_c1lam_g1,5136,1.427,"--cells 32,32,32 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 1//32 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine --scratch $CAL_ROOT/refined/refrsvd_c1lam_g1 --fresh"
refbounds_c1lam_g1,stage_bounds,12,24,3160,1,,refrsvd_c1lam_g1,1264,0.351,"--cells 32,32,32 --scale 1//32 --chi 18.612+1.5502660841406073im --sep 1//32 --rank 800 --oversamples 50 --power-iters 6 --seed 20260828 --refine --scratch $CAL_ROOT/refined/refrsvd_c1lam_g1 --gamma-rtol 1.0e-12 --outer-blocks 4 --outer-block-len 24"
