label,kind,threads,host_GB,time_limit_s,gpu,args
stagegreens_l0p25_sep1ss4,stage_greens,4,8,4545,0,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l0p25_sep1ss4,stage_rsvd,4,16,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l0p25_sep1ss4,stage_bounds,4,16,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l0p25_sep0ss1,stage_greens,4,8,5038,0,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagersvd_l0p25_sep0ss1,stage_rsvd,4,16,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagebounds_l0p25_sep0ss1,stage_bounds,4,16,3600,1,"--cells 8,8,8 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagegreens_l0p5_sep1ss4,stage_greens,4,8,4676,0,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l0p5_sep1ss4,stage_rsvd,4,16,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l0p5_sep1ss4,stage_bounds,4,16,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l0p5_sep0ss1,stage_greens,4,8,5082,0,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagersvd_l0p5_sep0ss1,stage_rsvd,4,16,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagebounds_l0p5_sep0ss1,stage_bounds,4,16,3600,1,"--cells 16,16,16 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 0//1"
stagegreens_l0p75_sep1ss4,stage_greens,4,8,5048,0,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l0p75_sep1ss4,stage_rsvd,4,16,3639,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l0p75_sep1ss4,stage_bounds,4,16,3600,1,"--cells 24,24,24 --scale 1//32 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l1_sep1ss4,stage_greens,4,8,5793,0,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l1_sep1ss4,stage_rsvd,4,31,10702,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l1_sep1ss4,stage_bounds,4,31,17072,1,"--cells 32,32,32 --scale 1//32 --chi 13.6+0.05im --rank 2750 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l2agiso_sep1ss4,stage_greens,4,8,7106,0,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l2agiso_sep1ss4,stage_rsvd,4,31,8516,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l2agiso_sep1ss4,stage_bounds,4,31,3600,1,"--cells 64,32,32 --scale -1//8 --chi 13.6+0.05im --rank 1350 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l3aniso_sep1ss4,stage_greens,4,8,8438,0,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l3aniso_sep1ss4,stage_rsvd,4,28,7162,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l3aniso_sep1ss4,stage_bounds,4,28,3600,1,"--cells 96,32,32 --scale -1//8 --chi 13.6+0.05im --rank 800 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l4aniso_sep1ss4,stage_greens,4,8,9782,0,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l4aniso_sep1ss4,stage_rsvd,4,28,7028,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagebounds_l4aniso_sep1ss4,stage_bounds,4,28,3600,1,"--cells 128,32,32 --scale -1//8 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagegreens_l2iso_sep1ss4,stage_greens,4,8,15230,0,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
stagersvd_l2iso_sep1ss4,stage_rsvd,4,49,13369,1,"--cells 64,64,64 --scale 1//32 --chi 13.6+0.05im --rank 600 --oversamples 50 --power-iters 14 --sep 1//4"
